Ticker,Name,Inception_Date,Index_Fund,Global_Category,#_of_Stock_Holdings,Total_Market_Value,Average_Market Cap_(mil),P_B_Ratio_(TTM),P_C_Ratio_(TTM),P_E_Ratio_(TTM),P_S_Ratio_(TTM),Debt_to_Capital_%_(trailing),Net_Margin_%_(trailing),ROA_%_(TTM),ROE_%_(TTM),P_FCF_Ratio_(TTM),ROIC_(TTM),Equity_Style_Factor_P_E,Equity_Style_Factor_P_B,Equity_Style_Factor_P_S,Equity_Style_Factor_P_C,Equity_Style_Factor_Div_Yld,Equity_Style_Factor_LT_Earn_Growth,Equity_Style_Factor_Hist_Earn_Growth,Equity_Style_Factor_BV_Growth,Equity_Style_Factor_Sales_Growth,Equity_Style_Factor_CF_Growth
MINEX,MainStay International Equity B,9/13/1994,No,Global Equity Large Cap,105.00,696795981.00,19384.64,2.10,6.28,9.28,0.85,,12.24,7.97,17.62,,19.23,12.58,1.29,0.68,4.06,9.75,9.02,11.37,-3.17,24.22,162.22
MINVX,Madison Investors Y,11/1/1978,No,US Equity Large Cap Growth,35.00,39684076.00,44079.89,2.64,10.78,17.71,1.42,30.26,9.79,8.47,19.62,15.07,15.60,15.40,2.59,1.22,10.14,1.92,13.56,6.89,8.33,12.88,11.93
MIOFX,Marsico International Opportunities,6/30/2000,No,Global Equity Large Cap,72.00,462186389.00,28473.74,2.26,3.73,16.23,1.03,38.91,11.24,5.98,12.13,,10.66,15.35,1.64,0.77,5.83,3.09,8.46,11.99,0.04,-14.25,-12.10
MISEX,Midas Magic,3/20/1986,No,US Equity Large Cap Growth,16.00,13670033.00,52800.07,2.47,13.17,20.92,1.83,27.52,16.11,7.90,21.05,,,16.27,2.68,1.54,13.67,1.15,10.40,62.09,-5.25,-3.47,4.87
MISIX,Victory Trivalent International Sm-Cp I,8/17/2007,No,Global Equity Mid/Small Cap,215.00,151760737.00,1816.46,1.60,6.57,13.46,0.56,,8.63,4.47,13.87,,29.34,12.72,1.30,0.51,3.91,3.07,13.01,8.93,-5.62,-10.51,-8.24
MITTX,MFS Massachusetts Investors Tr A,7/15/1924,No,US Equity Large Cap Blend,88.00,3020549172.00,48182.98,2.40,9.94,19.16,1.68,32.24,10.98,7.56,17.87,17.02,14.20,15.09,2.13,1.28,7.21,2.04,10.47,-15.32,5.83,11.05,12.72
MJFOX,Matthews Japan Investor,12/31/1998,No,Japan Equity,51.00,87639850.00,3947.16,1.19,10.39,18.88,0.86,34.34,6.19,2.30,2.21,,2.43,21.34,1.13,0.72,8.04,3.50,21.04,-8.56,-1.53,3.00,-10.41
MKIEX,McKee International Equity Instl,5/26/1994,No,Global Equity Large Cap,,,,,,,,,,,,,,,,,,,,,,,
MKLVX,BlackRock Large Cap Value Retiremt Instl,1/3/2008,No,US Equity Large Cap Value,106.00,181891463.00,16525.45,1.94,6.28,14.11,0.66,36.35,8.15,6.64,17.04,11.00,13.90,12.88,1.88,0.52,6.03,1.81,9.97,6.60,5.20,13.45,7.07
MLAAX,MainStay Large Cap Growth A,7/3/1995,No,US Equity Large Cap Growth,59.00,4271175783.00,38712.98,3.40,14.29,25.54,2.23,24.32,13.11,8.49,17.94,18.39,15.93,19.50,3.35,1.72,6.86,1.01,14.74,12.46,10.35,16.18,19.98
MLPIX,ProFunds Mid Cap Value Inv,9/4/2001,Yes,US Equity Mid Cap,,,,,,,,,,,,,,,,,,,,,,,
MLUSX,MassMutual Select Mid-Cap Value R5,8/29/2006,No,US Equity Mid Cap,,,,,,,,,,,,,,,,,,,,,,,
MLVSX,MassMutual Select Large Cap Value R5,4/28/2000,No,US Equity Large Cap Value,,,,,,,,,,,,,,,,,,,,,,,
MMCFX,AMG Managers Emerging Opportunities N,6/30/1994,No,US Equity Small Cap,,,,,,,,,,,,,,,,,,,,,,,
MMCMX,BNY Mellon Small/Mid Cap Multi-Strat M,9/30/2009,No,US Equity Small Cap,134.00,45939987.00,1939.22,1.80,9.31,19.05,0.92,33.39,0.15,-1.79,0.00,21.55,-0.48,16.96,1.57,0.67,5.44,2.54,13.28,-4.30,-4.78,0.27,-0.98
MMCVX,Managed Account Mid Cap Value Opp,8/2/2005,No,US Equity Mid Cap,,,,,,,,,,,,,,,,,,,,,,,
MMDEX,Praxis Growth Index I,5/1/2007,Yes,US Equity Large Cap Growth,,,,,,,,,,,,,,,,,,,,,,,
MMEYX,Victory Integrity Discovery Y,12/26/1996,No,US Equity Small Cap,97.00,105315167.00,409.14,1.52,7.55,11.44,0.97,26.31,9.99,6.82,14.44,12.80,12.00,13.80,1.50,0.72,6.15,5.17,10.47,50.82,9.53,5.46,10.37
MMIEX,MM S&P 500® Index Svc,2/27/1998,Yes,US Equity Large Cap Blend,,,,,,,,,,,,,,,,,,,,,,,
MMQSX,MassMutual Select Small Cap Val Eq R5,3/31/2006,No,US Equity Small Cap,,,,,,,,,,,,,,,,,,,,,,,
MMSIX,Praxis Small Cap Index I,5/1/2007,Yes,US Equity Small Cap,,,,,,,,,,,,,,,,,,,,,,,
MMSSX,MassMutual Premier Main Street R5,12/31/2004,No,US Equity Large Cap Blend,,,,,,,,,,,,,,,,,,,,,,,
MMUFX,MFS Utilities A,2/14/1992,No,Utilities Sector Equity,85.00,2756458836.00,10811.85,1.87,4.92,13.52,1.20,54.08,7.58,3.82,12.68,18.61,8.72,12.15,1.70,0.95,3.78,4.27,7.84,10.99,2.15,5.61,7.57
MMVYX,MassMutual Select Small Company Val Svc,12/31/2001,No,US Equity Small Cap,,,,,,,,,,,,,,,,,,,,,,,
MNDFX,Manning & Napier Disciplined Value I,11/7/2008,No,US Equity Large Cap Value,136.00,2752790.00,59779.17,2.73,8.77,17.31,1.36,33.48,10.59,7.37,20.26,16.09,14.86,12.82,2.61,0.86,5.47,4.15,6.98,0.57,-1.59,11.39,11.03
MNDIX,MFS New Discovery I,1/2/1997,No,US Equity Small Cap,133.00,678384979.00,1427.71,2.79,12.95,26.08,1.91,27.55,5.90,5.07,8.08,27.10,9.83,24.47,2.23,1.51,6.98,0.65,16.06,5.66,5.16,10.16,17.48
MNNAX,Victory Munder Multi-Cap A,8/19/1996,No,US Equity Large Cap Growth,75.00,348654947.00,12062.28,3.40,15.09,28.37,3.27,12.17,13.43,8.84,14.94,17.30,17.11,23.97,3.20,2.44,9.64,0.96,15.28,-3.04,5.86,12.60,12.77
MNREX,Manning & Napier Real Estate S,11/10/2009,No,Real Estate Sector Equity,,,,,,,,,,,,,,,,,,,,,,,
MNRGX,Manor Growth,6/30/1999,No,US Equity Large Cap Growth,33.00,3801358.00,20711.04,3.04,12.29,20.63,1.92,22.95,11.17,9.37,18.45,14.22,14.63,16.48,3.18,1.59,10.06,1.39,14.39,13.19,4.48,14.84,20.14
MNRMX,Manor,9/25/1995,No,US Equity Large Cap Blend,33.00,3800278.00,29758.30,2.27,9.30,16.48,0.97,28.84,10.14,7.65,19.28,14.35,13.75,14.16,2.38,0.83,8.39,1.97,11.84,8.90,5.67,14.75,9.09
MOFQX,Marketocracy Masters 100,11/5/2001,No,US Equity Mid Cap,115.00,19400708.00,4321.99,1.75,6.92,17.14,1.31,31.38,1.78,0.84,1.95,36.46,-1.64,13.59,1.38,0.77,2.76,8.82,14.51,-22.73,-37.56,-42.43,-41.61
MONTX,Monetta,5/6/1986,No,US Equity Large Cap Growth,65.00,46952404.00,24436.67,2.21,11.35,21.77,1.46,35.57,3.43,3.79,7.50,27.23,10.40,17.47,1.93,1.03,4.48,1.36,12.31,-8.05,-0.63,9.34,13.69
MOPIX,MainStay Epoch US Small Cap I,1/12/1987,No,US Equity Small Cap,80.00,379617473.00,2040.94,1.81,7.36,15.63,1.12,35.98,6.70,3.48,7.37,12.50,5.64,15.60,1.78,0.91,6.80,2.22,11.99,0.95,1.63,3.53,-3.10
MOSLX,MassMutual Select Overseas Adm,4/30/2001,No,Global Equity Large Cap,,,,,,,,,,,,,,,,,,,,,,,
MOTCX,MassMutual Select Fundamental Growth R5,4/28/2000,No,US Equity Large Cap Growth,,,,,,,,,,,,,,,,,,,,,,,
MPACX,Matthews Asia Growth Investor,10/31/2003,No,Asia Equity,59.00,225680326.00,6926.96,2.16,11.59,18.83,1.87,24.17,18.73,9.12,19.60,,,18.33,1.87,1.59,8.04,3.28,11.15,-4.36,7.20,9.34,12.73
MPAIX,Morgan Stanley Inst Advantage I,6/30/2008,No,US Equity Large Cap Growth,38.00,5689391.00,32231.97,3.25,13.57,23.13,2.10,32.97,10.36,7.95,17.87,17.95,17.29,18.57,2.31,1.40,9.44,2.55,12.13,-0.07,-8.10,-7.56,-10.14
MPCIX,AMG Managers Cadence Capital App Z,3/8/1991,No,US Equity Large Cap Growth,77.00,989905590.00,23073.43,2.77,10.41,19.77,1.20,31.54,9.71,7.28,19.56,13.35,15.38,15.63,2.81,1.01,4.68,1.97,12.07,2.72,2.39,11.50,19.01
MPEGX,Morgan Stanley Inst Mid Cap Growth I,3/30/1990,No,US Equity Mid Cap,55.00,3878371461.00,5411.92,4.18,15.93,31.94,2.84,34.05,8.83,7.78,10.85,26.43,15.41,25.48,3.57,1.73,11.95,1.30,15.89,-25.99,0.75,-0.13,13.33
MPGFX,Mairs & Power Growth Inv,11/7/1958,No,US Equity Large Cap Blend,45.00,1933941672.00,11970.88,2.42,9.41,20.51,1.29,35.30,8.81,6.35,14.43,12.62,11.51,15.80,2.57,1.11,8.43,2.74,10.71,-3.98,2.10,9.66,4.21
MPISX,BNY Mellon Income Stock M,10/2/2000,No,US Equity Large Cap Value,71.00,121486642.00,44631.82,1.73,8.37,17.06,1.04,37.13,5.98,2.79,9.82,14.00,10.67,12.93,1.72,0.84,5.09,3.17,8.81,-1.51,0.77,9.92,5.36
MPITX,BNY Mellon International M,10/2/2000,No,Global Equity Large Cap,203.00,1225859787.00,27015.60,1.30,4.55,13.91,0.65,35.77,7.87,3.89,10.65,,,13.36,1.03,0.51,3.46,4.57,8.44,-7.69,2.10,0.56,1.49
MPLCX,BNY Mellon Large Cap Stock M,10/2/2000,No,US Equity Large Cap Blend,86.00,1568248645.00,35813.43,2.07,9.01,17.10,1.08,36.22,8.14,4.12,11.22,15.44,11.24,14.21,1.94,0.81,5.81,2.00,9.16,-4.49,-5.48,4.47,1.34
MPMCX,BNY Mellon Mid Cap Multi-Strategy M,10/2/2000,No,US Equity Mid Cap,132.00,1297841323.00,3634.19,1.84,7.74,20.27,0.97,36.63,3.14,1.38,5.48,15.76,5.58,16.40,1.66,0.75,5.54,2.31,11.35,10.22,1.10,8.37,13.66
MPPMX,BNY Mellon Intl Appreciation M,4/1/1997,No,Global Equity Large Cap,284.00,261181433.00,39643.63,1.65,5.82,11.82,0.62,40.50,8.37,4.04,11.21,,8.07,13.50,1.22,0.54,3.71,5.60,6.31,4.19,7.59,19.47,-4.93
MPSMX,MassMutual Premier Strat Emerg Mkts R5,11/3/2008,No,Emerging Markets Equity,,,,,,,,,,,,,,,,,,,,,,,
MPSSX,BNY Mellon Small Cap Multi-Strategy M,10/2/2000,No,US Equity Small Cap,149.00,596885017.00,1177.02,1.68,7.78,17.46,0.88,32.55,0.05,-0.63,1.70,,,18.37,1.52,0.67,4.20,2.64,12.49,3.17,3.96,3.46,6.82
MREIX,BMO Large-Cap Value Y,9/30/1993,No,US Equity Large Cap Value,86.00,189211288.00,31367.87,1.68,6.19,15.99,0.80,39.10,5.25,2.92,8.83,11.62,10.25,12.30,1.62,0.63,3.62,2.73,9.09,-1.15,2.89,9.86,11.47
MRESX,AMG Managers CenterSquare Real Estate N,12/31/1997,No,Real Estate Sector Equity,41.00,16950520.00,4981.15,1.69,,38.61,3.59,53.32,6.10,0.76,2.74,,,39.47,1.46,2.32,8.09,7.01,5.42,4.37,2.02,8.20,13.40
MRGAX,MFS Core Equity A,1/2/1996,No,US Equity Large Cap Blend,187.00,808334536.00,25588.49,2.15,9.35,18.64,1.39,33.97,9.06,6.52,15.16,16.76,13.02,14.91,1.99,1.11,5.79,2.28,10.33,-0.64,3.12,10.82,12.32
MRLAX,Morgan Stanley Inst Global Real Est I,8/30/2006,No,Real Estate Sector Equity,124.00,690372780.00,7758.96,1.31,,19.85,3.29,49.74,22.57,0.31,1.51,,,23.07,1.13,2.90,7.75,6.64,10.86,-8.63,-3.71,0.52,-1.57
MRLIX,AMG Renaissance Large Cap Growth Z,6/3/2009,No,US Equity Large Cap Growth,55.00,21226269.00,25965.77,3.40,9.88,18.33,1.50,31.04,12.05,10.75,26.57,13.24,21.88,13.99,3.52,1.29,8.14,1.58,11.59,11.10,6.57,12.86,17.73
MRMSX,BMO Mid-Cap Growth Y,9/30/1993,No,US Equity Mid Cap,86.00,212922715.00,3277.00,2.62,7.50,22.37,1.30,36.32,2.50,-0.47,8.57,17.34,4.98,17.31,2.30,1.06,5.62,0.71,14.94,10.88,-4.46,12.09,21.50
MRSCX,BMO Small-Cap Growth Y,10/31/1995,No,US Equity Small Cap,85.00,289248112.00,654.66,2.35,7.06,15.46,1.16,34.72,4.67,-1.77,7.27,22.94,-3.60,14.75,2.45,1.01,5.28,0.18,17.39,16.28,-16.58,-2.45,22.13
MRSIX,MFS Research International I,1/2/1997,No,Global Equity Large Cap,113.00,4128638052.00,30389.63,1.65,5.66,17.83,1.16,34.26,9.97,4.68,11.57,,10.75,14.27,1.18,0.78,3.59,4.58,9.28,64.88,-7.97,3.71,12.75
MRVEX,BMO Mid-Cap Value Y,9/30/1993,No,US Equity Mid Cap,75.00,236019806.00,6218.23,1.47,5.30,16.07,0.58,35.30,3.62,2.24,4.68,10.47,7.42,14.07,1.46,0.38,3.30,3.64,5.28,0.73,0.10,11.42,17.53
MSACX,Morgan Stanley Inst Active Intl Allc I,1/17/1992,No,Global Equity Large Cap,799.00,537747622.00,31230.12,1.67,5.26,14.12,0.88,37.18,10.04,4.76,12.62,6.84,10.63,14.19,1.34,0.60,3.91,4.73,12.99,208.36,-23.44,-44.54,-38.99
MSAVX,Invesco American Value A,10/18/1993,No,US Equity Mid Cap,43.00,592871844.00,5229.26,1.79,7.68,18.02,0.98,44.63,1.44,0.19,4.39,18.34,4.55,15.57,1.67,0.82,6.02,2.94,10.45,-0.28,2.96,5.48,6.29
MSEFX,Litman Gregory Masters Equity Instl,12/31/1996,No,US Equity Large Cap Growth,95.00,301482772.00,10651.60,1.89,8.36,17.23,1.25,35.10,3.32,2.60,5.23,18.88,6.32,15.96,1.74,1.03,6.87,1.40,11.58,6.64,4.90,4.87,2.42
MSEQX,Morgan Stanley Inst Growth I,4/2/1991,No,US Equity Large Cap Growth,46.00,774026997.00,25694.49,3.93,19.42,31.54,2.88,22.92,11.80,8.35,15.14,30.13,18.12,25.52,2.57,1.81,6.57,2.57,16.22,-20.77,8.75,4.48,11.18
MSFAX,Morgan Stanley Inst Global Franchise I,11/28/2001,No,Global Equity,28.00,120464593.00,20894.99,4.22,11.47,17.77,1.75,53.86,12.02,9.87,30.79,12.80,18.27,14.79,2.00,1.05,8.94,3.01,8.52,-6.81,8.77,-2.88,-5.12
MSGSX,MassMutual Select Small Cap Gr Eq R5,5/3/1999,No,US Equity Small Cap,,,,,,,,,,,,,,,,,,,,,,,
MSIGX,Oppenheimer Main Street A,2/3/1988,No,US Equity Large Cap Blend,,,,,,,,,,,,,,,,,,,,,,,
MSILX,Litman Gregory Masters Intl Instl,12/1/1997,No,Global Equity Large Cap,77.00,1309579248.00,16915.67,1.65,3.65,16.39,0.87,39.35,8.11,4.67,9.88,,12.35,14.71,1.52,0.73,4.38,2.50,10.58,-22.76,-6.13,-6.39,10.67
MSIQX,Morgan Stanley Inst International Eq I,8/4/1989,No,Global Equity Large Cap,78.00,4274827909.00,26830.66,1.91,6.32,14.59,0.78,40.10,8.69,5.97,16.37,,12.57,14.89,1.30,0.60,3.67,5.69,8.19,-13.46,-8.58,-7.05,-31.76
MSMLX,Matthews Asia Small Companies Inv,9/15/2008,No,Asia ex-Japan Equity,71.00,106193299.00,923.22,2.86,15.97,18.68,1.81,,14.80,10.37,19.07,,19.39,14.09,2.65,1.46,9.93,1.92,15.67,4.12,-4.00,-3.36,5.38
MSOAX,MainStay Common Stock A,6/1/1998,No,US Equity Large Cap Blend,263.00,317620237.00,37286.16,2.12,7.03,17.31,0.99,33.98,7.08,4.48,11.86,11.89,12.36,14.39,2.07,0.80,5.54,2.20,9.62,0.38,1.68,10.47,13.68
MSPIX,MainStay S&P 500 Index I,1/2/1991,Yes,US Equity Large Cap Blend,501.00,1415351920.00,43872.70,2.20,9.09,18.56,1.24,35.85,8.55,5.79,14.67,15.38,13.58,14.75,2.11,1.02,6.48,2.70,9.43,-4.98,-1.92,6.84,9.52
MSSCX,AMG Frontier Small Cap Growth I,9/24/1997,No,US Equity Small Cap,94.00,35837408.00,1723.68,2.23,9.09,22.17,0.88,25.81,4.19,3.83,7.31,14.12,7.06,19.07,2.21,0.66,6.45,0.84,13.54,5.05,3.46,12.52,19.66
MSSFX,Litman Gregory Masters Smlr Coms Instl,6/30/2003,No,US Equity Small Cap,67.00,79309566.00,1534.86,1.54,5.20,19.34,0.67,31.57,2.89,0.32,0.58,12.08,3.54,16.63,1.55,0.34,3.25,1.27,4.50,18.19,-4.66,11.47,14.21
MSSGX,Morgan Stanley Inst Small Co Gr I,11/1/1989,No,US Equity Small Cap,66.00,1523105704.00,1102.61,2.63,13.76,26.34,2.38,27.71,11.75,6.18,10.10,32.45,10.87,24.42,2.77,1.44,7.71,0.99,18.80,-13.19,1.98,-4.54,-1.05
MSUAX,Morgan Stanley Inst Intl Rl Est I,10/1/1997,No,Real Estate Sector Equity,76.00,471700762.00,5327.21,0.91,,,3.34,,24.61,-6.93,-13.77,,,18.66,0.67,2.97,5.15,8.96,9.45,-18.62,-9.86,-5.74,-46.56
MSUSX,Morgan Stanley Inst US Real Estate I,2/24/1995,No,Real Estate Sector Equity,49.00,698410743.00,5601.76,2.04,,34.45,3.67,56.82,10.80,1.68,5.88,,,43.22,1.98,3.08,9.29,5.36,5.82,-6.07,0.78,4.35,5.71
MSYSX,AMG Systematic Large Cap Value I,4/1/2002,No,US Equity Large Cap Value,115.00,125591479.00,20686.75,1.62,6.70,16.67,1.02,41.84,1.20,-0.44,3.19,15.83,6.30,12.56,1.56,0.82,4.62,2.97,9.00,-12.56,-6.05,5.32,6.18
MTCAX,MFS Technology A,1/2/1997,No,Technology Sector Equity,44.00,168623568.00,16242.63,3.06,12.71,28.30,1.45,22.94,7.35,4.10,14.40,16.98,15.31,20.24,2.91,1.22,9.19,1.27,14.02,-18.16,-6.83,11.52,5.85
MUBFX,MainStay MAP Equity I,1/21/1971,No,US Equity Large Cap Blend,237.00,1485278742.00,32890.05,1.77,7.14,18.21,1.12,36.86,7.07,3.78,9.89,16.04,10.48,14.20,1.87,0.70,4.40,3.27,7.32,0.48,2.98,4.45,8.07
MUHLX,Muhlenkamp,11/1/1988,No,US Equity Large Cap Blend,48.00,712019596.00,19811.49,2.04,6.82,15.29,1.04,40.88,5.84,5.76,17.61,11.43,11.10,11.91,1.85,0.89,5.80,1.45,10.60,-0.27,1.60,6.41,12.17
MUIFX,Nationwide Institutional Service,5/11/1933,No,US Equity Large Cap Blend,127.00,752397834.00,36297.38,2.35,9.50,18.54,1.15,33.79,8.10,6.41,16.17,15.86,13.27,14.95,2.31,0.94,5.44,2.23,10.19,-1.69,3.68,11.82,12.38
MUIGX,Nationwide Growth R6,2/14/1961,No,US Equity Large Cap Growth,107.00,137394665.00,32608.25,3.39,12.65,21.72,2.03,30.25,11.58,9.09,19.82,16.66,16.51,17.31,3.35,1.68,5.68,1.42,12.56,4.89,7.20,12.26,16.36
MUNDX,Mundoval,9/3/2004,No,Global Equity,42.00,9784211.00,50783.22,1.99,8.19,16.69,1.15,39.75,7.98,5.73,15.19,11.51,13.72,13.12,1.96,1.24,9.05,2.92,8.70,-9.10,-8.74,-8.07,-8.09
MUSEX,MFS Blended Research Core Equity I,1/14/1994,No,US Equity Large Cap Blend,96.00,16418221.00,40182.03,2.12,8.39,18.66,1.10,35.98,7.66,5.18,13.19,14.73,12.79,13.95,1.95,0.86,4.31,2.80,9.44,0.17,4.36,10.57,10.73
MUXYX,Victory S&P 500 Index Y,11/29/1991,Yes,US Equity Large Cap Blend,500.00,355853320.00,43738.25,2.20,9.09,18.56,1.24,35.86,8.54,5.79,14.66,15.38,13.57,14.75,2.11,1.01,6.48,2.70,9.43,-4.98,-1.92,6.85,9.51
MVALX,Meridian Contrarian Legacy,2/10/1994,No,US Equity Mid Cap,53.00,912561416.00,7700.35,2.30,9.19,18.90,1.39,32.95,6.91,2.61,8.04,14.95,7.33,15.88,2.24,1.13,7.84,2.57,11.62,-0.57,3.44,10.65,4.63
MVCAX,MFS Mid Cap Value A,8/31/2001,No,US Equity Mid Cap,147.00,669312479.00,4201.43,1.62,7.37,15.66,1.02,41.46,6.93,2.73,8.09,18.77,6.73,14.18,1.57,0.85,4.76,2.96,9.56,-7.04,0.22,6.55,9.30
MVEIX,Monteagle Select Value I,3/30/1998,No,US Equity Large Cap Value,,,,,,,,,,,,,,,,,,,,,,,
MVIAX,Praxis Value Index A,5/1/2001,Yes,US Equity Large Cap Value,,,,,,,,,,,,,,,,,,,,,,,
MVIEX,Wilmington Multi-Manager Intl Instl,6/29/1998,No,Global Equity Large Cap,2237.00,468450411.00,13934.41,1.46,5.14,12.57,0.75,32.62,10.62,4.88,12.38,,,12.95,1.24,0.58,3.35,4.74,9.80,-26.28,-71.33,-73.90,-65.31
MVPFX,Marathon Value Portfolio,3/28/2000,No,US Equity Large Cap Blend,73.00,32674491.00,13090.98,2.21,8.47,18.80,1.17,34.34,8.68,6.21,14.82,11.86,11.92,15.94,2.28,1.01,7.10,2.96,10.81,2.19,-2.03,6.34,13.45
MVRGX,Monteagle Value I,12/17/1999,No,US Equity Large Cap Value,,,,,,,,,,,,,,,,,,,,,,,
MVUSX,MassMutual Select Fundamental Value R5,12/31/2001,No,US Equity Large Cap Value,,,,,,,,,,,,,,,,,,,,,,,
MWATX,Metropolitan West AlphaTrak 500,6/29/1998,No,US Equity Large Cap Blend,0.00,31793428.00,,,,,,,,,,,,,,,,,,,,,
MWEBX,MFS Global Equity B,12/29/1986,No,Global Equity,93.00,444427513.00,31247.29,2.29,9.06,18.23,1.58,30.27,9.87,6.96,16.82,13.85,12.95,15.30,1.82,1.05,6.66,2.38,8.86,-6.71,-13.81,-15.30,-39.68
MWNIX,MFS International New Discovery I,10/9/1997,No,Global Equity Mid/Small Cap,263.00,2320033363.00,4702.72,2.00,6.87,14.44,1.06,,11.01,7.32,18.13,,24.29,14.90,1.59,0.98,5.59,3.93,11.39,16.41,-19.27,5.61,81.44
MWOFX,MFS Global Growth A,11/18/1993,No,Global Equity,101.00,241185292.00,33105.53,2.76,7.30,19.81,1.91,28.05,13.20,8.91,18.95,15.84,16.36,16.52,1.97,1.28,8.53,1.78,9.33,9.15,-13.87,-3.48,10.40
MXAIX,Touchstone Small Cap Growth Y,2/2/1998,No,US Equity Small Cap,105.00,32553985.00,227.28,0.98,5.06,16.79,0.52,28.62,-1.25,-5.39,-3.32,12.76,-3.10,15.83,0.92,0.42,2.50,3.14,12.51,-7.25,-1.02,4.33,9.68
MXEQX,Great-West T. Rowe Price Eq Inc Init,11/1/1994,No,US Equity Large Cap Value,117.00,572112309.00,29440.23,1.69,7.14,18.18,0.99,42.76,3.21,2.76,7.48,13.83,9.40,14.24,1.67,0.74,5.61,4.27,8.02,-10.48,-2.89,8.34,6.89
MXIGX,Great-West MFS International Gr Init,5/21/2003,No,Global Equity Large Cap,67.00,189510419.00,31496.12,2.11,8.87,18.05,1.43,32.98,11.60,6.99,16.99,13.83,12.99,15.51,1.59,0.94,5.83,3.00,7.57,-18.14,-18.08,-22.22,-46.36
MXISX,Great-West S&P SmallCap 600® Index Init,12/1/1993,Yes,US Equity Small Cap,595.00,200084784.00,889.77,1.65,7.37,18.09,0.84,27.42,3.04,2.04,5.34,12.25,4.83,17.58,1.56,0.68,5.36,2.19,12.56,2.17,1.60,5.32,4.59
MXIVX,Great-West MFS International Value Init,12/1/1993,No,Global Equity Large Cap,92.00,242643755.00,18497.17,1.58,5.25,16.56,0.97,32.57,8.18,5.66,13.77,12.18,11.52,13.10,1.25,0.65,4.19,3.76,8.56,40.26,-19.81,-11.37,-31.65
MXLGX,Great-West Multi-Manager Lg Cp Gr Init,5/21/2003,No,US Equity Large Cap Growth,37.00,310462794.00,56173.19,2.79,15.50,22.01,2.73,26.83,15.69,10.03,19.10,21.70,19.08,16.77,2.44,2.43,8.52,2.05,12.82,12.02,14.03,13.41,26.62
MXLSX,Great-West Loomis Sayles Sm Cp Val Inv,11/1/1994,No,US Equity Small Cap,165.00,221821835.00,1255.52,1.71,6.70,15.31,0.85,34.09,4.37,1.31,7.83,12.14,6.98,15.63,1.54,0.70,4.81,2.48,11.61,2.74,0.91,4.27,8.42
MXMCX,Great-West Ariel Mid Cap Value Inv,1/3/1994,No,US Equity Mid Cap,40.00,45654643.00,7211.85,2.30,8.17,19.16,1.15,39.02,2.69,1.18,12.53,10.18,11.06,15.61,2.59,0.93,5.96,2.71,10.78,1.26,-16.18,8.36,5.16
MXMGX,Great-West T. Rowe Price Mid Cp Gr Init,7/1/1997,No,US Equity Mid Cap,145.00,378343342.00,5059.69,2.53,12.19,24.44,1.63,30.46,4.32,3.10,7.04,26.50,7.99,20.53,2.47,0.98,4.98,1.29,12.81,4.17,0.42,11.53,9.87
MXMVX,Great-West Goldman Sachs Md Cp Val Init,5/15/2008,No,US Equity Mid Cap,277.00,191491904.00,5229.51,1.41,4.74,16.59,0.62,40.40,1.95,-1.24,0.76,9.50,5.05,15.54,1.41,0.43,4.00,3.59,6.37,-2.11,-6.16,9.72,6.43
MXSIX,Great-West Stock Index Investor,2/25/1982,Yes,US Equity Large Cap Blend,895.00,290112898.00,34904.45,2.17,8.89,18.67,1.22,35.73,8.27,5.45,14.09,15.32,12.98,14.93,2.08,0.99,6.47,2.66,9.56,-4.70,-1.58,6.97,9.33
MXSVX,Great-West Invesco Small Cap Value Init,5/15/2008,No,US Equity Small Cap,325.00,139732574.00,764.38,1.28,3.73,11.49,0.56,37.54,4.68,-1.50,1.58,7.85,2.72,12.87,1.23,0.49,2.65,3.38,10.19,-3.60,-16.43,-6.00,2.61
MXVIX,Great-West S&P 500® Index Investor,9/8/2003,Yes,US Equity Large Cap Blend,497.00,753920991.00,44006.80,2.21,9.09,18.60,1.24,35.88,8.54,5.79,14.70,15.39,13.57,14.77,2.12,1.01,6.49,2.70,9.44,-4.92,-1.96,6.88,9.55
MXXIX,Marsico 21st Century,2/1/2000,No,US Equity Large Cap Growth,53.00,903156619.00,19498.20,2.18,13.46,24.31,2.04,37.60,8.59,5.85,10.97,19.55,11.88,18.85,1.94,1.78,7.68,2.62,13.03,-3.42,6.26,-3.10,14.70
MXXVX,Matthew 25,10/16/1995,No,US Equity Large Cap Blend,18.00,42573961.00,14376.20,1.88,9.40,27.41,1.89,46.22,-3.54,4.08,7.42,19.87,15.33,16.57,1.63,1.58,6.46,3.07,11.91,-0.19,2.43,6.17,17.09
MYCIX,Mainstay US Equity Opportunities I,6/29/2007,No,US Equity Large Cap Blend,327.00,325884152.00,17345.65,1.86,6.04,15.83,0.83,33.83,6.58,3.42,9.68,9.94,9.95,14.22,1.83,0.64,4.79,2.13,9.80,-0.03,0.26,8.82,13.45
MYIFX,Monetta Young Investor,12/12/2006,No,US Equity Large Cap Growth,28.00,1389659.00,41910.72,2.54,9.45,20.43,1.15,35.55,8.84,6.64,15.46,13.82,13.34,16.62,2.43,0.91,8.49,2.15,10.36,-6.75,-0.88,3.40,8.41
